TF	Target	EdgeWeight
G058	G065	0.0018647612
G041	G046	0.0018647114
G058	G060	0.0018647003
G004	G034	0.0018645537
G093	G099	0.001864508
G088	G054	0.0018644795
G063	G003	0.0018642468
G053	G054	0.0018642304
G069	G060	0.0018642298
G098	G006	0.0018640611
G044	G073	0.0018640335
G023	G060	0.0018638845
G041	G030	0.0018637688
G100	G065	0.0018637315
G081	G054	0.0018637138
G031	G030	0.0018635786
G078	G032	0.0018635113
G033	G057	0.0018634564
G062	G030	0.0018633795
G023	G036	0.0018632668
G016	G002	0.0018632154
G012	G033	0.0018629334
G096	G037	0.0018629177
G056	G054	0.0018628314
G090	G092	0.0018628002
G070	G090	0.0018627017
G075	G019	0.0018626621
G050	G046	0.0018622985
G069	G064	0.0018622492
G032	G063	0.0018622339
G044	G034	0.0018621312
G060	G013	0.0018620131
G017	G052	0.0018619844
G007	G074	0.0018619527
G028	G087	0.0018617947
G091	G023	0.0018617138
G062	G026	0.0018615795
G075	G040	0.0018615762
G093	G088	0.0018614616
G060	G063	0.0018614125
G059	G099	0.0018614077
G091	G019	0.0018613872
G081	G005	0.0018612689
G081	G022	0.0018612245
G044	G002	0.0018611648
G030	G023	0.0018609177
G038	G012	0.0018608958
G029	G012	0.0018608681
G010	G033	0.0018608065
G071	G019	0.0018607748
G043	G062	0.0018605855
G100	G010	0.0018605561
G029	G013	0.0018602554
G023	G022	0.0018601267
G029	G063	0.001859928
G034	G060	0.0018598776
G078	G026	0.0018598648
G008	G073	0.0018598177
G022	G024	0.0018598145
G068	G083	0.0018596781
G011	G052	0.0018595064
G010	G088	0.0018594317
G064	G068	0.0018594085
G032	G005	0.0018593405
G046	G044	0.0018592951
G048	G010	0.0018592661
G078	G063	0.0018592636
G078	G030	0.0018592305
G048	G019	0.0018591259
G016	G028	0.0018590671
G030	G074	0.001859028
G088	G076	0.0018589491
G028	G065	0.0018588827
G078	G064	0.0018585973
G093	G070	0.0018585527
G048	G046	0.0018584765
G011	G013	0.0018584059
G016	G007	0.0018583261
G021	G006	0.001858314
G038	G006	0.0018581335
G073	G083	0.0018581216
G083	G065	0.0018580778
G028	G044	0.001857923
G003	G083	0.0018579162
G048	G013	0.0018578542
G026	G087	0.0018578277
G003	G017	0.0018576165
G043	G026	0.0018574632
G050	G093	0.0018573994
G096	G086	0.0018573832
G010	G094	0.0018573358
G096	G060	0.0018571491
G010	G025	0.0018570574
G075	G006	0.001857007
G064	G040	0.0018569404
G007	G060	0.0018568494
G005	G065	0.0018567779
G004	G073	0.0018567106
G069	G048	0.0018567003
G065	G005	0.0018566088
G099	G010	0.0018566063
G004	G040	0.0018564598
G099	G085	0.0018564519
G095	G067	0.0018563129
G043	G003	0.001856255
G014	G056	0.0018562376
G038	G013	0.0018560925
G100	G067	0.001856064
G032	G026	0.0018559397
G011	G067	0.0018559315
G088	G010	0.0018558603
G093	G013	0.0018558599
G003	G008	0.0018558591
G003	G047	0.0018558487
G022	G089	0.0018557623
G008	G023	0.0018557608
G033	G023	0.0018556183
G096	G087	0.0018554248
G005	G033	0.0018553948
G030	G032	0.0018553726
G038	G079	0.0018552394
G091	G006	0.0018551211
G076	G087	0.0018550364
G024	G003	0.0018548815
G017	G046	0.0018548676
G001	G060	0.0018546968
G031	G049	0.0018546707
G049	G047	0.0018544778
G028	G067	0.0018542662
G099	G037	0.0018541997
G076	G019	0.0018541205
G032	G002	0.001854009
G069	G087	0.0018539634
G078	G019	0.0018539396
G006	G030	0.0018538673
G031	G056	0.0018538461
G092	G030	0.0018537436
G030	G080	0.0018537308
G045	G037	0.0018537038
G091	G057	0.0018536713
G014	G034	0.0018535928
G003	G052	0.001853569
G085	G081	0.0018534967
G094	G085	0.0018534359
G042	G054	0.0018534103
G030	G019	0.0018533565
G037	G060	0.0018533501
G049	G070	0.0018533194
G084	G049	0.0018532984
G060	G024	0.0018532819
G037	G036	0.0018532771
G069	G065	0.0018532578
G014	G052	0.0018532233
G099	G060	0.0018531607
G036	G023	0.001853067
G100	G019	0.0018530635
G040	G087	0.0018529319
G091	G048	0.0018529266
G010	G034	0.0018529057
G061	G074	0.001852894
G016	G040	0.0018528698
G068	G052	0.0018526497
G025	G006	0.0018525497
G046	G070	0.0018524564
G008	G033	0.0018524564
G023	G034	0.0018523731
G056	G087	0.001852366
G020	G026	0.0018522965
G061	G023	0.001852132
G011	G044	0.0018520729
G098	G099	0.0018520652
G026	G097	0.0018520498
G072	G063	0.0018520255
G040	G036	0.0018520053
G061	G012	0.0018517615
G016	G023	0.0018517574
G062	G034	0.0018517164
G003	G004	0.0018516218
G081	G065	0.0018516149
G054	G036	0.001851557
G096	G083	0.0018515437
G093	G047	0.0018515266
G094	G087	0.0018515091
G066	G007	0.0018515027
G025	G051	0.0018513561
G070	G019	0.0018513536
G014	G005	0.0018512817
G069	G093	0.001851196
G071	G012	0.0018511849
G071	G083	0.0018511708
G093	G050	0.0018511482
G016	G093	0.0018510862
G065	G028	0.0018510628
G086	G047	0.0018510321
G001	G006	0.0018510239
G091	G034	0.0018510034
G099	G006	0.0018509992
G041	G087	0.0018509388
G071	G005	0.0018509343
G010	G064	0.0018508924
G087	G056	0.0018508168
G096	G036	0.001850808
G090	G044	0.0018507618
G090	G080	0.001850733
G023	G012	0.0018506716
G066	G048	0.0018506699
G037	G062	0.0018506653
G029	G030	0.0018506162
G071	G097	0.0018506151
G007	G052	0.0018505651
G010	G087	0.0018505648
G094	G003	0.0018505054
G078	G054	0.0018504901
G031	G097	0.0018504321
G003	G091	0.0018503895
G046	G085	0.0018503354
G085	G056	0.001849905
G071	G056	0.0018498
G033	G064	0.0018497363
G045	G092	0.0018497098
G066	G026	0.001849701
G060	G042	0.0018496299
G034	G063	0.0018495844
G005	G006	0.0018495608
G071	G060	0.0018495522
G046	G026	0.0018494712
G035	G032	0.0018494183
G059	G036	0.0018493563
G027	G089	0.0018493419
G006	G051	0.0018492562
G053	G003	0.0018492349
G013	G006	0.0018492128
G005	G032	0.0018492109
G062	G073	0.001849101
G030	G052	0.0018490817
G056	G046	0.0018490558
G046	G034	0.0018490445
G033	G065	0.0018490441
G015	G037	0.0018490432
G017	G003	0.0018490253
G031	G062	0.0018489936
G094	G056	0.0018488979
G080	G072	0.001848854
G030	G081	0.0018488363
G058	G006	0.0018488127
G005	G044	0.0018487266
G071	G052	0.0018486795
G040	G056	0.0018486608
G023	G033	0.0018486053
G098	G052	0.0018485846
G086	G008	0.0018485726
G047	G005	0.0018484496
G039	G008	0.0018482498
G050	G006	0.001848158
G087	G100	0.0018481234
G065	G033	0.0018480583
G011	G073	0.0018479764
G040	G060	0.0018479323
G058	G031	0.001847864
G073	G026	0.0018478453
G074	G046	0.0018478377
G043	G097	0.0018477724
G018	G030	0.0018477449
G061	G030	0.001847699
G021	G004	0.001847673
G078	G003	0.0018476432
G093	G062	0.0018475491
G009	G080	0.0018475435
G050	G010	0.0018474896
G069	G028	0.0018473999
G083	G064	0.0018473654
G098	G036	0.0018473277
G084	G099	0.0018471639
G045	G070	0.001846958
G061	G097	0.001846956
G028	G099	0.0018468861
G059	G093	0.001846853
G019	G099	0.001846772
G091	G003	0.0018467685
G088	G023	0.0018467371
G025	G046	0.0018466554
G086	G057	0.0018465684
G028	G052	0.001846548
G011	G083	0.0018465408
G033	G082	0.0018464237
G017	G080	0.0018463131
G061	G046	0.0018463073
G085	G067	0.001846265
G075	G032	0.0018462648
G062	G012	0.0018462276
G012	G040	0.0018462103
G005	G024	0.0018461966
G001	G023	0.0018461959
G096	G049	0.001846177
G082	G062	0.0018460938
G045	G044	0.0018460866
G070	G012	0.0018460699
G037	G067	0.001846069
G002	G077	0.0018460657
G088	G026	0.0018459038
G014	G012	0.0018458654
G033	G063	0.0018457219
G034	G096	0.0018456952
G050	G061	0.0018456914
G085	G051	0.0018456831
G031	G060	0.0018456668
G047	G048	0.0018455865
G014	G036	0.0018455429
G027	G032	0.0018454274
G092	G093	0.0018454139
G056	G008	0.0018454075
G002	G030	0.001845361
G062	G051	0.0018453515
G005	G043	0.0018453477
G011	G093	0.0018452613
G007	G055	0.001845205
G037	G046	0.0018451686
G072	G047	0.0018451678
G073	G010	0.001845099
G060	G006	0.0018450969
G039	G003	0.0018450948
G029	G060	0.0018450755
G024	G063	0.0018449634
G011	G006	0.0018449236
G002	G080	0.0018449185
G032	G025	0.0018449136
G038	G087	0.0018447463
G086	G015	0.0018447393
G040	G010	0.0018447187
G018	G049	0.0018447075
G095	G049	0.0018447007
G060	G040	0.001844694
G068	G057	0.0018446886
G053	G099	0.001844675
G027	G093	0.0018446607
G062	G049	0.0018446569
G035	G063	0.001844623
G025	G049	0.0018445675
G086	G073	0.0018445469
G071	G013	0.0018445075
G043	G054	0.0018444309
G030	G061	0.0018444187
G098	G057	0.0018443981
G068	G051	0.0018443583
G056	G003	0.0018443542
G096	G056	0.0018442803
G079	G063	0.0018442723
G099	G088	0.0018441906
G025	G036	0.0018441555
G055	G049	0.0018441345
G023	G090	0.0018440844
G088	G013	0.001844082
G047	G010	0.0018440676
G035	G056	0.001844028
G004	G019	0.001844022
G064	G050	0.0018440111
G099	G044	0.0018440096
G018	G002	0.0018439378
G099	G019	0.0018438201
G053	G070	0.0018438136
G024	G008	0.0018437859
G007	G036	0.0018437593
G025	G023	0.0018437289
G025	G062	0.0018437189
G059	G073	0.0018436825
G055	G013	0.0018436227
G058	G051	0.0018435578
G037	G096	0.0018435335
G079	G060	0.0018435244
G096	G054	0.001843481
G097	G067	0.001843478
G097	G040	0.0018434599
G020	G054	0.0018434271
G007	G056	0.001843413
G042	G064	0.0018433704
G031	G026	0.0018432995
G052	G058	0.0018432987
G025	G064	0.0018430788
G016	G057	0.0018430365
G006	G015	0.0018429997
G005	G007	0.0018429535
G031	G055	0.0018429018
G097	G030	0.001842759
G007	G099	0.0018426711
G038	G056	0.0018426024
G083	G002	0.0018425363
G100	G094	0.0018425214
G048	G082	0.0018424727
G090	G012	0.0018424712
G058	G070	0.0018423919
G002	G074	0.0018423822
G024	G054	0.0018422368
G046	G039	0.0018422315
G032	G082	0.0018422123
G091	G044	0.0018421485
G091	G064	0.0018420707
G028	G064	0.0018420432
G001	G015	0.0018420309
G013	G022	0.0018420042
G051	G026	0.0018420024
G003	G045	0.0018419347
G084	G033	0.0018418899
G007	G054	0.0018418877
G094	G086	0.0018418647
G091	G032	0.0018418544
G078	G062	0.0018418138
G020	G022	0.0018418118
G029	G087	0.0018418108
G058	G025	0.0018418024
G072	G019	0.001841802
G062	G043	0.0018417841
G076	G070	0.0018416132
G048	G040	0.0018415947
G065	G086	0.001841521
G091	G100	0.0018415134
G063	G077	0.0018414882
G091	G060	0.0018414765
G036	G052	0.0018414591
G097	G028	0.0018414282
G084	G064	0.001841396
G003	G060	0.0018413778
G026	G004	0.0018413357
G040	G039	0.001841288
G038	G090	0.0018412695
G016	G089	0.0018412181
G058	G013	0.0018410864
G063	G020	0.0018409622
G050	G013	0.0018409417
G099	G058	0.0018409169
G048	G060	0.0018409041
G005	G048	0.0018408721
G042	G022	0.0018408296
G046	G056	0.0018406804
G073	G022	0.0018406301
G056	G071	0.0018406088
G075	G073	0.0018405294
G093	G046	0.0018405117
G005	G080	0.0018404662
G097	G042	0.0018404535
G010	G037	0.0018404336
G033	G093	0.0018403357
G018	G020	0.0018403138
G014	G097	0.0018400699
G032	G077	0.0018400156
G028	G073	0.0018399131
G029	G010	0.0018398378
G010	G073	0.0018398365
G047	G093	0.0018397695
G002	G008	0.0018396535
G005	G010	0.001839581
G026	G076	0.0018395757
G003	G079	0.0018395181
G025	G012	0.0018395109
G096	G030	0.001839509
G019	G007	0.0018394816
G090	G037	0.0018394559
G090	G056	0.0018394338
G066	G065	0.0018393421
G019	G063	0.0018392866
G038	G064	0.001839279
G057	G067	0.0018392423
G099	G013	0.001839237
G026	G080	0.0018391833
G044	G012	0.0018391439
G015	G036	0.0018391408
G039	G048	0.0018390847
G050	G077	0.0018390698
G043	G006	0.0018390466
G030	G083	0.0018390315
G003	G040	0.0018389887
G005	G092	0.0018389878
G010	G029	0.0018389799
G089	G074	0.0018389726
G048	G007	0.0018389306
G005	G089	0.0018389222
G048	G055	0.0018387875
G093	G065	0.001838754
G058	G002	0.0018387324
G008	G054	0.0018386758
G081	G089	0.0018386589
G001	G004	0.0018386496
G036	G050	0.0018386251
G085	G026	0.0018386149
G036	G062	0.0018385983
G031	G043	0.0018385045
G018	G051	0.001838475
G081	G013	0.0018384473
G093	G037	0.0018384354
G038	G049	0.0018384133
G064	G033	0.0018383827
G097	G012	0.0018383175
G054	G057	0.0018382618
G084	G036	0.0018382579
G032	G047	0.0018382296
G056	G099	0.0018382155
G002	G088	0.0018382026
G031	G054	0.0018381461
G074	G032	0.0018380812
G082	G067	0.0018380409
G085	G093	0.0018380163
G075	G057	0.0018379699
G084	G058	0.0018379193
G025	G082	0.001837851
G005	G026	0.001837821
G052	G032	0.0018377866
G010	G060	0.0018377851
G027	G061	0.001837751
G018	G046	0.0018376901
G049	G048	0.0018376703
G064	G075	0.0018376431
G099	G017	0.0018376202
G050	G062	0.001837606
G025	G028	0.0018375856
G079	G054	0.0018375732
G038	G010	0.0018375653
G087	G049	0.0018374822
G013	G051	0.0018374346
G065	G054	0.0018373822
G058	G088	0.0018373482
G093	G054	0.0018372787
G087	G037	0.0018372033
G006	G021	0.0018371487
G049	G060	0.0018371129
G083	G081	0.0018370975
G063	G019	0.0018370871
G035	G046	0.0018370866
G043	G070	0.001837029
G062	G036	0.0018370228
G017	G054	0.0018370141
G060	G046	0.0018369963
G027	G087	0.0018369766
G029	G025	0.0018369735
G038	G046	0.0018369644
G008	G086	0.0018369289
G093	G016	0.0018369252
G046	G083	0.0018369164
G006	G097	0.001836842
G046	G080	0.0018367895
G062	G045	0.0018367491
G017	G030	0.001836743
G008	G081	0.0018367098
G012	G021	0.0018367043
G073	G064	0.0018366206
G016	G012	0.0018365656
G047	G054	0.0018365586
G039	G072	0.0018365373
G083	G010	0.0018365338
G009	G008	0.0018365306
G062	G072	0.0018365233
G073	G040	0.0018364019
G016	G017	0.0018363609
G017	G004	0.0018363422
G013	G002	0.0018363309
G057	G074	0.001836293
G018	G007	0.0018362355
G099	G042	0.0018362269
G063	G032	0.0018361207
G084	G043	0.0018361049
G072	G028	0.001836097
G058	G043	0.0018360597
G058	G018	0.001836049
G053	G067	0.0018360225
G011	G021	0.0018359892
G004	G083	0.001835901
G026	G065	0.0018358697
G086	G046	0.0018358398
G029	G083	0.0018358286
G088	G083	0.0018356964
G099	G031	0.0018356573
G081	G023	0.0018356347
G046	G020	0.0018356047
G031	G007	0.0018355936
G007	G002	0.001835587
G002	G083	0.0018355593
G073	G018	0.0018354926
G023	G057	0.0018354859
G016	G083	0.001835309
G090	G008	0.0018352724
G096	G089	0.001835271
G064	G093	0.0018352527
G087	G003	0.0018352309
G051	G055	0.0018352121
G049	G092	0.0018351787
G054	G014	0.0018351573
G057	G076	0.0018351364
G008	G030	0.0018350967
G024	G070	0.0018350758
G084	G037	0.0018350455
G025	G067	0.0018350385
G088	G100	0.0018350144
G099	G083	0.0018349861
G060	G034	0.001834961
G081	G070	0.0018349467
G052	G055	0.0018349339
G064	G082	0.0018349304
G098	G056	0.001834909
G052	G020	0.0018348855
G009	G004	0.0018348669
G055	G077	0.0018348537
G009	G056	0.0018348315
G063	G008	0.0018348303
G091	G086	0.001834828
G081	G067	0.0018346874
G006	G014	0.0018346471
G062	G086	0.0018346331
G086	G016	0.0018345945
G011	G080	0.0018345566
G054	G017	0.0018344638
G062	G068	0.0018344328
G004	G060	0.0018344194
G060	G097	0.0018343893
G082	G060	0.0018343644
G078	G049	0.0018343139
G038	G063	0.0018342827
G063	G022	0.0018342816
G084	G082	0.0018342003
G079	G062	0.0018341955
G031	G093	0.0018341708
G075	G020	0.0018341589
G076	G020	0.0018341055
G030	G005	0.0018338679
G004	G086	0.0018338382
G026	G092	0.0018338012
G037	G007	0.0018337982
G045	G025	0.001833773
G004	G056	0.0018337588
G039	G060	0.0018337554
G099	G030	0.001833672
G030	G078	0.0018336554
G029	G065	0.0018336549
G072	G051	0.0018335626
G037	G085	0.0018335237
G053	G023	0.0018334781
G018	G013	0.0018334084
G095	G006	0.0018333714
G024	G083	0.0018333192
G060	G016	0.0018332972
G080	G002	0.001833292
G073	G087	0.0018332883
G042	G097	0.0018332517
G065	G090	0.0018332117
G069	G047	0.001833169
G038	G097	0.0018331078
G010	G007	0.001833102
G082	G089	0.0018330943
G070	G089	0.0018330852
G055	G036	0.001833084
G024	G033	0.0018330798
G025	G004	0.0018330663
G070	G060	0.0018330042
G074	G047	0.0018330015
G029	G003	0.0018330003
G002	G047	0.0018329729
G070	G073	0.0018329244
G058	G020	0.0018329038
G097	G051	0.0018328751
G082	G047	0.0018328347
G011	G015	0.0018327845
G069	G023	0.0018327731
G037	G092	0.0018326421
G076	G067	0.0018326208
G072	G032	0.0018324994
G059	G019	0.0018324931
G098	G063	0.0018323883
G048	G023	0.0018323252
G050	G036	0.0018323027
G081	G037	0.0018322805
G024	G086	0.0018322517
G047	G031	0.0018322475
G029	G002	0.0018322365
G064	G019	0.0018321954
G024	G036	0.0018321908
G091	G053	0.0018321663
G028	G004	0.001832157
G068	G004	0.0018321563
G017	G006	0.0018321234
G034	G003	0.001832118
G094	G062	0.0018320889
G099	G053	0.0018320614
G053	G019	0.0018320569
G015	G052	0.0018319607
G084	G100	0.0018319589
G061	G003	0.0018319355
G091	G036	0.0018319197
G009	G043	0.0018318705
G094	G037	0.0018318653
G073	G088	0.0018318554
G075	G008	0.0018318342
G042	G080	0.0018318208
G097	G022	0.0018317903
G040	G046	0.0018317808
G056	G050	0.0018317535
G033	G012	0.001831695
G019	G079	0.0018316305
G099	G089	0.0018315341
G066	G027	0.0018315148
G099	G043	0.0018315136
G039	G058	0.0018315079
G071	G082	0.0018314655
G071	G048	0.0018314524
G006	G049	0.0018314462
G087	G010	0.0018314165
G081	G057	0.0018313314
G086	G049	0.001831265
G023	G005	0.0018312538
G018	G083	0.0018312143
G010	G023	0.001831088
G049	G040	0.0018310692
G030	G046	0.0018310556
G069	G004	0.0018310413
G083	G060	0.0018309898
G004	G084	0.0018309361
G011	G088	0.001830823
G084	G026	0.0018308127
G091	G089	0.0018307733
G003	G070	0.0018307557
G023	G007	0.0018307489
G074	G061	0.0018307163
G002	G017	0.0018307142
G084	G046	0.0018306597
G019	G087	0.0018306508
G072	G034	0.0018304992
G050	G039	0.0018304758
G022	G036	0.0018304648
G029	G034	0.0018304538
G023	G073	0.0018304047
G033	G034	0.0018303875
G026	G083	0.0018303309
G043	G030	0.0018302981
G001	G046	0.0018302925
G051	G003	0.0018302526
G003	G077	0.0018302067
G007	G046	0.0018302029
G012	G018	0.0018301287
G095	G030	0.0018301001
G071	G044	0.001830052
G092	G012	0.0018300472
G039	G043	0.0018300159
G046	G010	0.0018299643
G059	G072	0.0018299411
G066	G055	0.0018298941
G039	G007	0.001829862
G040	G062	0.0018297735
G034	G062	0.0018297248
G056	G030	0.0018296865
G061	G053	0.0018296787
G023	G015	0.0018296252
G047	G019	0.0018296072
G088	G055	0.0018295986
G047	G067	0.0018293912
G050	G022	0.0018293851
G003	G009	0.0018293373
G061	G083	0.0018293355
G052	G002	0.0018292621
G098	G019	0.0018292386
G004	G093	0.0018291688
G044	G090	0.0018291427
G060	G047	0.0018290604
G081	G093	0.0018290549
G026	G061	0.0018290477
G073	G036	0.0018290157
G050	G087	0.0018290073
G078	G083	0.0018289402
G028	G056	0.0018288092
G090	G034	0.0018288
G003	G085	0.0018287882
G004	G051	0.001828762
G050	G005	0.0018287075
G012	G029	0.0018286359
G029	G074	0.0018285984
G029	G006	0.0018285004
G024	G019	0.0018284679
