,E1R1,E2R1,E3R1,E4R1,E5R1,E6R1,E7R1,E8R1,E9R1,E10R1,E11R1,E12R1,E13R1,E14R1,E15R1,E16R1,E17R1,E18R1,E19R1,E20R1,E21R1,E22R1,E23R1,E24R1,E25R1,E26R1,E27R1,E28R1,E29R1,E30R1,E31R1,E32R1,E33R1,E34R1,E35R1,E36R1,E37R1,E38R1,E39R1,E40R1,E41R1,E42R1,E43R1,E44R1,E45R1,E46R1,E47R1,E48R1,E49R1,E50R1,E1R2,E2R2,E3R2,E4R2,E5R2,E6R2,E7R2,E8R2,E9R2,E10R2,E11R2,E12R2,E13R2,E14R2,E15R2,E16R2,E17R2,E18R2,E19R2,E20R2,E21R2,E22R2,E23R2,E24R2,E25R2,E26R2,E27R2,E28R2,E29R2,E30R2,E31R2,E32R2,E33R2,E34R2,E35R2,E36R2,E37R2,E38R2,E39R2,E40R2,E41R2,E42R2,E43R2,E44R2,E45R2,E46R2,E47R2,E48R2,E49R2,E50R2,E1R3,E2R3,E3R3,E4R3,E5R3,E6R3,E7R3,E8R3,E9R3,E10R3,E11R3,E12R3,E13R3,E14R3,E15R3,E16R3,E17R3,E18R3,E19R3,E20R3,E21R3,E22R3,E23R3,E24R3,E25R3,E26R3,E27R3,E28R3,E29R3,E30R3,E31R3,E32R3,E33R3,E34R3,E35R3,E36R3,E37R3,E38R3,E39R3,E40R3,E41R3,E42R3,E43R3,E44R3,E45R3,E46R3,E47R3,E48R3,E49R3,E50R3
G011,0.013355,0.022871,0.016038,0.015941,0.014939,0.016952,0.014947,0.013748,0.012108,0.012832,0.000958,0.010877,0.012627,0.01461,0.017889,0.01569,0.016414,0.013639,0.015473,0.019504,0.014409,0.020153,0.02743,0.019053,0.015969,0.012162,0.01769,0.011838,0.015581,0.014846,0.013587,0.01285,0.018808,0.013301,0.014216,0.011994,0.018944,0.014913,0.017118,0.015601,0.01839,0.016934,0.015677,0.013965,0.014042,0.018877,0.016847,0.01956,0.013232,0.017858,0.019863,0.014762,0.01349,0.01763,0.018188,0.015815,0.01538,0.01444,0.020179,0.013729,0.001534,0.014828,0.011518,0.019047,0.018483,0.017237,0.018442,0.016511,0.013375,0.012001,0.016575,0.015766,0.012123,0.018191,0.017816,0.015306,0.015867,0.013794,0.012961,0.01534,0.019949,0.012073,0.014396,0.01292,0.012396,0.021695,0.017759,0.01426,0.019054,0.011192,0.016127,0.017069,0.015601,0.018191,0.014432,0.014988,0.017284,0.018557,0.012422,0.015244,0.018208,0.015208,0.014514,0.013276,0.015771,0.01674,0.017892,0.011764,0.020156,0.017412,0.002055,0.018897,0.015219,0.012432,0.011862,0.018623,0.020641,0.018196,0.014566,0.014919,0.015522,0.012621,0.013692,0.016123,0.00903,0.014554,0.015463,0.013305,0.016851,0.02001,0.014509,0.010103,0.0138,0.016517,0.015507,0.011104,0.012635,0.015379,0.022332,0.01508,0.012016,0.017653,0.016374,0.013615,0.01331,0.015182,0.014825,0.01978,0.01614,0.017592
G012,0.014376,0.024634,0.017206,0.017198,0.015639,0.01799,0.015919,0.01469,0.012968,0.013885,0.012364,0.000439,0.013738,0.015771,0.019227,0.017046,0.017828,0.014718,0.016544,0.020867,0.015484,0.021648,0.029279,0.020516,0.017119,0.013152,0.019144,0.012724,0.016876,0.015949,0.014581,0.01374,0.019964,0.014273,0.015263,0.012893,0.020398,0.015954,0.018526,0.016621,0.019643,0.018099,0.017043,0.015326,0.015275,0.020257,0.018198,0.021032,0.014278,0.01917,0.021242,0.015726,0.014514,0.019205,0.019616,0.016911,0.016477,0.015826,0.02171,0.014841,0.01659,0.000842,0.012427,0.020675,0.019823,0.018357,0.019823,0.017969,0.014372,0.012841,0.017643,0.016885,0.013092,0.019587,0.019083,0.016598,0.017152,0.014804,0.014114,0.016507,0.021571,0.013029,0.015491,0.014019,0.013338,0.023255,0.019258,0.015384,0.020383,0.012085,0.017336,0.018128,0.016654,0.019571,0.015517,0.016324,0.018508,0.019939,0.013284,0.016628,0.019602,0.016442,0.015736,0.014251,0.016902,0.017871,0.019136,0.012721,0.021536,0.018574,0.022919,0.001827,0.016337,0.013169,0.012758,0.020051,0.02212,0.019583,0.01558,0.016321,0.016647,0.013535,0.014591,0.017658,0.009686,0.015666,0.016496,0.014349,0.018024,0.0216,0.015769,0.010665,0.015038,0.017651,0.016633,0.011901,0.013603,0.016541,0.023666,0.016228,0.013086,0.018931,0.017614,0.014554,0.014153,0.016409,0.015783,0.021281,0.017248,0.01873
G013,0.014892,0.025576,0.017801,0.017778,0.016576,0.018762,0.016611,0.015138,0.013507,0.014447,0.012732,0.011991,0.001454,0.016079,0.019898,0.017634,0.018468,0.015102,0.017115,0.02158,0.016117,0.022575,0.03025,0.021254,0.01768,0.013547,0.019693,0.013179,0.017576,0.01669,0.01508,0.014311,0.020825,0.014876,0.015747,0.013389,0.021183,0.016756,0.019255,0.01746,0.020456,0.019063,0.017397,0.015831,0.015772,0.021087,0.019021,0.02168,0.014594,0.020093,0.022186,0.016427,0.014951,0.019614,0.020616,0.017476,0.017184,0.016303,0.022435,0.015481,0.017388,0.016504,0.000937,0.021285,0.020604,0.019306,0.020808,0.018596,0.015028,0.013394,0.018414,0.017607,0.013537,0.02043,0.01998,0.01726,0.017636,0.015435,0.014729,0.017117,0.022202,0.013583,0.015936,0.014617,0.013813,0.024328,0.019977,0.015964,0.021105,0.012458,0.017901,0.018941,0.017256,0.020518,0.016216,0.016816,0.019261,0.020827,0.013683,0.017256,0.020448,0.017033,0.016194,0.014949,0.017609,0.018416,0.019782,0.013148,0.022447,0.019315,0.023667,0.021033,0.001093,0.013788,0.013061,0.020829,0.022876,0.020434,0.016243,0.016858,0.017299,0.014151,0.015218,0.018285,0.01016,0.01618,0.016988,0.014838,0.01864,0.022188,0.016269,0.011202,0.015544,0.018433,0.017174,0.012349,0.01411,0.017048,0.024744,0.017024,0.013635,0.019748,0.018363,0.014976,0.014785,0.016928,0.016411,0.022045,0.017739,0.01948
G014,0.024678,0.041783,0.029659,0.029292,0.027043,0.031073,0.027332,0.025225,0.022269,0.023772,0.020906,0.019812,0.023525,0.002138,0.032993,0.02887,0.030423,0.024289,0.028398,0.035632,0.025481,0.036994,0.048483,0.034965,0.029262,0.022131,0.031644,0.021567,0.028729,0.027218,0.024752,0.023463,0.034372,0.024707,0.024868,0.021947,0.034629,0.027462,0.031542,0.028595,0.033875,0.030993,0.02779,0.02422,0.025983,0.034684,0.030733,0.03573,0.02378,0.031671,0.036426,0.027155,0.024549,0.032285,0.033761,0.028981,0.028275,0.026607,0.036815,0.025307,0.028274,0.027222,0.021474,0.000192,0.033787,0.031579,0.034031,0.029646,0.024662,0.022091,0.028815,0.02877,0.02134,0.033462,0.032619,0.028153,0.028457,0.02522,0.024037,0.028111,0.036698,0.022096,0.026589,0.024079,0.021426,0.039631,0.032858,0.026249,0.034618,0.020659,0.029346,0.031033,0.027545,0.031103,0.026884,0.027916,0.031562,0.033924,0.022559,0.02688,0.033267,0.027996,0.026659,0.024474,0.029108,0.030344,0.032522,0.021721,0.036768,0.031975,0.039199,0.034475,0.02777,0.00161,0.021804,0.034498,0.037706,0.032538,0.02667,0.027943,0.027195,0.023067,0.024178,0.030069,0.016779,0.026486,0.027338,0.02444,0.030995,0.036783,0.02676,0.018404,0.02554,0.030269,0.026911,0.020268,0.023421,0.028301,0.040332,0.027995,0.022286,0.032401,0.029145,0.023048,0.02419,0.028216,0.026849,0.036304,0.029492,0.031022
G015,0.014476,0.024828,0.017301,0.017316,0.016064,0.018185,0.015801,0.014736,0.012995,0.013826,0.012431,0.011659,0.013583,0.015684,0.002175,0.017039,0.017687,0.01468,0.016592,0.020913,0.015529,0.021649,0.029358,0.020496,0.017029,0.013055,0.019207,0.012957,0.017034,0.016034,0.014674,0.013817,0.020201,0.014307,0.015317,0.012932,0.020333,0.016165,0.018612,0.016735,0.019797,0.01819,0.016823,0.015204,0.01537,0.020119,0.018277,0.021048,0.014232,0.01945,0.02124,0.015865,0.014567,0.019028,0.019644,0.016947,0.01656,0.015557,0.021724,0.014883,0.01655,0.015924,0.012575,0.020615,0.001577,0.01856,0.019735,0.01802,0.014504,0.012736,0.017781,0.016875,0.013141,0.019539,0.019094,0.016629,0.01702,0.014824,0.014127,0.01652,0.021546,0.012997,0.015475,0.014074,0.013328,0.023393,0.019206,0.015224,0.020604,0.012049,0.017284,0.018271,0.016838,0.019461,0.015714,0.01638,0.018591,0.020071,0.013261,0.016344,0.019487,0.016497,0.015675,0.014203,0.016956,0.017764,0.019104,0.01273,0.021473,0.018757,0.022959,0.020141,0.016407,0.013355,0.001145,0.020131,0.022216,0.019708,0.015612,0.016265,0.016589,0.01359,0.014641,0.017689,0.009929,0.015595,0.016431,0.01429,0.018046,0.021321,0.015634,0.010848,0.015065,0.017716,0.016723,0.01185,0.01372,0.016507,0.023976,0.016278,0.013205,0.018957,0.0177,0.014674,0.014282,0.016304,0.01591,0.021215,0.017477,0.018861
G016,0.014409,0.024932,0.017435,0.017356,0.015892,0.018245,0.016012,0.014781,0.013014,0.013984,0.012162,0.011721,0.01377,0.015789,0.019421,0.001675,0.017872,0.014653,0.01659,0.021018,0.015606,0.021566,0.029369,0.02062,0.017245,0.013183,0.01913,0.012757,0.016987,0.016151,0.014653,0.013854,0.019976,0.014532,0.015394,0.012937,0.020324,0.016154,0.018638,0.016882,0.019992,0.01822,0.016925,0.015352,0.015479,0.020196,0.018275,0.021203,0.01426,0.019437,0.021458,0.015721,0.014485,0.019036,0.01968,0.016929,0.01672,0.015579,0.021885,0.014963,0.016657,0.015945,0.012597,0.020664,0.019997,0.001892,0.019928,0.017767,0.014698,0.01309,0.017858,0.016943,0.013046,0.019461,0.019286,0.016772,0.017152,0.014797,0.014204,0.016745,0.021483,0.013003,0.015587,0.014189,0.013333,0.023284,0.019141,0.015339,0.020607,0.012111,0.017227,0.018403,0.016877,0.019599,0.015653,0.016222,0.018788,0.020169,0.013366,0.016641,0.019704,0.016526,0.015726,0.014407,0.017006,0.017987,0.019233,0.012751,0.021757,0.018808,0.022857,0.020123,0.01646,0.013385,0.012739,0.001283,0.022091,0.01978,0.015809,0.016216,0.016743,0.013767,0.014675,0.017865,0.009947,0.015731,0.016516,0.014364,0.018195,0.021643,0.015767,0.010925,0.015028,0.017731,0.016748,0.011963,0.013608,0.016488,0.023892,0.016237,0.012946,0.019071,0.017787,0.014656,0.014235,0.016377,0.015877,0.021468,0.017305,0.018865
G017,0.013236,0.022613,0.015762,0.015701,0.014588,0.016612,0.014577,0.013354,0.011953,0.012639,0.011089,0.010686,0.012664,0.014375,0.017632,0.015622,0.001276,0.013467,0.014999,0.019073,0.014303,0.019672,0.026698,0.018732,0.015593,0.011775,0.017371,0.011572,0.015452,0.014586,0.013233,0.012618,0.018277,0.013083,0.013835,0.01174,0.018463,0.014714,0.016836,0.015322,0.018028,0.016743,0.015452,0.013876,0.014014,0.018508,0.016691,0.019226,0.012821,0.01782,0.019382,0.014473,0.013281,0.017297,0.017963,0.015518,0.015097,0.01415,0.019813,0.013677,0.015169,0.014814,0.011495,0.018677,0.018073,0.016868,0.000456,0.01631,0.013138,0.01174,0.016264,0.015482,0.011978,0.018023,0.017587,0.015128,0.015617,0.013456,0.012835,0.015117,0.019528,0.011767,0.014176,0.012639,0.012244,0.021173,0.01754,0.014072,0.018677,0.010991,0.015889,0.016686,0.015268,0.017933,0.014338,0.014852,0.017006,0.018255,0.012137,0.015034,0.017936,0.014897,0.014355,0.01304,0.015372,0.016251,0.017511,0.01159,0.019685,0.017055,0.020894,0.018357,0.014859,0.012112,0.011611,0.018428,0.001126,0.018062,0.014204,0.014833,0.015261,0.012559,0.01328,0.016038,0.009031,0.014421,0.014989,0.013066,0.016368,0.019588,0.014513,0.009753,0.013743,0.016067,0.015257,0.010773,0.012497,0.015132,0.021864,0.014879,0.011933,0.017351,0.016209,0.01332,0.013031,0.01497,0.014323,0.019396,0.015832,0.017211
G018,0.016201,0.02748,0.019095,0.019324,0.017705,0.020319,0.017805,0.016421,0.01442,0.0155,0.013733,0.013095,0.015442,0.017551,0.021454,0.019055,0.019841,0.001051,0.018451,0.023378,0.017427,0.024221,0.032594,0.023227,0.019176,0.014467,0.021236,0.013615,0.018864,0.017796,0.016354,0.015374,0.022378,0.016061,0.017141,0.014336,0.021472,0.01791,0.020598,0.018636,0.022093,0.020302,0.018819,0.01697,0.016968,0.022734,0.020271,0.023497,0.015787,0.021682,0.023895,0.017664,0.016047,0.021137,0.021851,0.018934,0.018385,0.01743,0.024279,0.016526,0.01858,0.01781,0.013991,0.022855,0.022246,0.020805,0.022106,0.00191,0.016262,0.014573,0.019823,0.019006,0.014548,0.021993,0.021516,0.018698,0.019051,0.015789,0.015857,0.018285,0.023842,0.014483,0.017258,0.0157,0.014895,0.026078,0.020379,0.017158,0.022826,0.013547,0.01935,0.020431,0.018753,0.02201,0.017356,0.018051,0.020771,0.022391,0.014812,0.018384,0.021992,0.018325,0.017362,0.015959,0.018786,0.019861,0.02139,0.01421,0.023993,0.02099,0.025576,0.022645,0.01825,0.01493,0.014332,0.022551,0.024602,0.002335,0.017345,0.018192,0.018637,0.015174,0.016349,0.019636,0.010936,0.017553,0.018428,0.015315,0.020246,0.023908,0.017538,0.012163,0.0169,0.019764,0.018555,0.01325,0.014428,0.018534,0.02652,0.018029,0.014665,0.021129,0.019806,0.016242,0.015859,0.018259,0.017593,0.023802,0.019264,0.020962
G019,0.014793,0.025258,0.017714,0.017485,0.016159,0.018365,0.016337,0.015,0.013076,0.01411,0.012658,0.011821,0.014203,0.015853,0.019718,0.017218,0.018197,0.014891,0.001081,0.021186,0.015752,0.022002,0.029892,0.021083,0.017432,0.013273,0.019487,0.013089,0.017324,0.016192,0.014753,0.013895,0.020502,0.014641,0.015647,0.013054,0.020637,0.016423,0.019005,0.017118,0.020206,0.018474,0.017067,0.015372,0.015565,0.020618,0.018625,0.021444,0.014397,0.019865,0.021867,0.016146,0.014755,0.019435,0.020103,0.017273,0.01689,0.015958,0.022203,0.015254,0.016992,0.016215,0.012944,0.020932,0.020191,0.019025,0.020271,0.018546,0.001762,0.013211,0.018114,0.01723,0.013149,0.019898,0.019382,0.017029,0.017368,0.015083,0.014397,0.016721,0.022019,0.013209,0.015807,0.014214,0.01359,0.023737,0.019495,0.015749,0.020792,0.012255,0.017519,0.018536,0.017025,0.020187,0.016003,0.01672,0.019023,0.020434,0.013473,0.016841,0.020062,0.016752,0.015991,0.014686,0.017272,0.018328,0.019519,0.013095,0.021905,0.019087,0.023324,0.020702,0.016619,0.013499,0.012867,0.020656,0.022435,0.020077,0.000675,0.01655,0.016945,0.013935,0.015135,0.017999,0.009994,0.015902,0.016858,0.014532,0.018486,0.021801,0.01605,0.01099,0.015273,0.017964,0.017063,0.012114,0.014011,0.016749,0.024306,0.016503,0.013216,0.019421,0.017936,0.0148,0.01455,0.016614,0.016232,0.021595,0.017713,0.019441
G020,0.014033,0.024241,0.016996,0.016744,0.015573,0.017703,0.015695,0.014407,0.012628,0.013803,0.01211,0.011463,0.013606,0.015371,0.018947,0.01648,0.017408,0.014447,0.016217,0.000616,0.015279,0.02131,0.028828,0.020104,0.016907,0.012811,0.018593,0.01242,0.01662,0.0156,0.014361,0.013539,0.019572,0.014089,0.014932,0.012438,0.020141,0.015755,0.018285,0.016442,0.019444,0.017888,0.016615,0.014901,0.01507,0.019994,0.017797,0.020679,0.013915,0.019079,0.020889,0.015533,0.014261,0.018619,0.019191,0.016604,0.016308,0.015338,0.021255,0.014726,0.016386,0.015713,0.012236,0.020307,0.019417,0.01822,0.01955,0.017554,0.014152,0.0007,0.017377,0.016659,0.012766,0.019145,0.01865,0.016256,0.016779,0.01443,0.013612,0.016159,0.021076,0.012701,0.015246,0.013891,0.013129,0.022665,0.018916,0.015209,0.020208,0.01172,0.016883,0.018094,0.01658,0.019297,0.015459,0.015955,0.018315,0.019627,0.013007,0.0162,0.019309,0.016123,0.015274,0.013885,0.016615,0.017362,0.018631,0.012497,0.021232,0.018392,0.022416,0.019865,0.015954,0.012989,0.012591,0.019706,0.021524,0.019266,0.015398,0.001521,0.016334,0.01332,0.014287,0.01736,0.00956,0.01533,0.016102,0.013915,0.017783,0.021148,0.015416,0.010605,0.014678,0.017296,0.016255,0.011629,0.013403,0.016243,0.023417,0.015954,0.012847,0.018696,0.017546,0.014321,0.013878,0.016088,0.015671,0.020924,0.016873,0.018506
G021,0.014876,0.025533,0.017894,0.017918,0.016503,0.018709,0.016461,0.015256,0.013447,0.014555,0.012747,0.011887,0.014201,0.016231,0.019854,0.017481,0.018339,0.015424,0.017242,0.021598,0.001827,0.02225,0.030338,0.021118,0.017831,0.013542,0.019565,0.013072,0.017464,0.016567,0.015095,0.014245,0.020727,0.014834,0.015777,0.013224,0.021009,0.016555,0.019173,0.017481,0.02027,0.018867,0.017367,0.015796,0.015817,0.020905,0.019032,0.021861,0.014731,0.020127,0.021954,0.016486,0.014779,0.019792,0.020371,0.017507,0.01737,0.015932,0.022326,0.015516,0.017162,0.016556,0.013083,0.021312,0.020626,0.019068,0.020469,0.018637,0.014876,0.013456,0.000744,0.017551,0.013572,0.020317,0.019838,0.01712,0.017763,0.015274,0.014662,0.016937,0.021953,0.013446,0.015967,0.014495,0.013795,0.0241,0.019787,0.015847,0.020998,0.012495,0.017834,0.018909,0.017382,0.020365,0.016078,0.016818,0.019283,0.020746,0.013851,0.01695,0.020373,0.017019,0.016287,0.014787,0.017541,0.018211,0.019747,0.013205,0.022371,0.019303,0.023649,0.020989,0.016709,0.013727,0.013106,0.020901,0.022818,0.020345,0.016162,0.016774,0.000303,0.014269,0.015141,0.018201,0.009993,0.016145,0.017112,0.014871,0.018575,0.022193,0.016304,0.011131,0.015577,0.018276,0.01722,0.012334,0.014099,0.017169,0.024662,0.01682,0.013494,0.019554,0.018364,0.015093,0.014779,0.017036,0.016436,0.02212,0.01784,0.019632
G022,0.014309,0.024631,0.017327,0.017152,0.015941,0.018061,0.015938,0.014832,0.012736,0.014121,0.012325,0.011678,0.013705,0.015668,0.019411,0.016982,0.017686,0.014668,0.01653,0.020868,0.01565,0.001599,0.029322,0.020579,0.017102,0.013153,0.019208,0.012805,0.016957,0.016122,0.014616,0.013784,0.020133,0.014285,0.015402,0.012853,0.020354,0.01621,0.018648,0.016835,0.019842,0.018148,0.016955,0.015313,0.015233,0.020384,0.01823,0.021206,0.014351,0.019637,0.021424,0.015841,0.014544,0.019,0.019748,0.017065,0.016776,0.01552,0.021749,0.014922,0.016659,0.015902,0.012558,0.020467,0.019991,0.018546,0.019758,0.017994,0.0145,0.013013,0.017827,0.000751,0.012977,0.019557,0.019096,0.016519,0.017179,0.014826,0.014107,0.016598,0.021576,0.01288,0.015565,0.014204,0.013489,0.023392,0.019274,0.015536,0.020594,0.011962,0.017231,0.018245,0.016677,0.019729,0.015651,0.016429,0.018655,0.020148,0.013265,0.016582,0.019666,0.016455,0.015674,0.014317,0.017041,0.017907,0.018974,0.012828,0.021665,0.018805,0.022884,0.020156,0.016312,0.013298,0.012902,0.020258,0.022156,0.019937,0.015539,0.016308,0.016697,0.001192,0.014742,0.017605,0.009937,0.015598,0.016531,0.014289,0.018019,0.021683,0.015685,0.010834,0.014973,0.017666,0.016673,0.011828,0.013693,0.016653,0.023951,0.016339,0.013257,0.019034,0.017696,0.014608,0.014245,0.016451,0.015787,0.021333,0.017302,0.019006
G023,0.014896,0.025318,0.017735,0.01779,0.01643,0.01877,0.016542,0.015223,0.013449,0.01431,0.01252,0.012016,0.014198,0.016146,0.019932,0.017605,0.018335,0.015344,0.017177,0.021665,0.016101,0.022357,0.00391,0.021173,0.017624,0.013258,0.01953,0.013228,0.017493,0.016463,0.015098,0.014114,0.020667,0.014825,0.015869,0.013099,0.021072,0.016427,0.019241,0.01734,0.020443,0.018772,0.017509,0.015792,0.015836,0.020928,0.018753,0.021721,0.014614,0.020036,0.022018,0.016305,0.015072,0.019581,0.020314,0.017511,0.017247,0.016148,0.022302,0.015485,0.017104,0.016455,0.012747,0.021104,0.020428,0.019242,0.020508,0.018598,0.014786,0.013445,0.018339,0.017487,0.000598,0.020376,0.019849,0.016993,0.017684,0.015265,0.014368,0.017006,0.022144,0.013358,0.015878,0.014516,0.013748,0.023975,0.01968,0.01574,0.020912,0.012476,0.017707,0.018812,0.017297,0.020315,0.01612,0.016798,0.019114,0.020634,0.013815,0.016963,0.020118,0.016925,0.016047,0.014684,0.017618,0.018381,0.019841,0.013023,0.022228,0.019313,0.023684,0.02079,0.016882,0.013787,0.01302,0.020744,0.02291,0.020598,0.016125,0.016795,0.017103,0.014215,0.001557,0.018148,0.010109,0.016093,0.016968,0.014568,0.018466,0.022075,0.016275,0.011033,0.015357,0.018387,0.017214,0.012071,0.01413,0.0171,0.024674,0.016873,0.013448,0.019542,0.018273,0.015031,0.014596,0.016809,0.016339,0.021841,0.017846,0.019522
G024,0.020257,0.034771,0.024294,0.024308,0.022321,0.025666,0.022467,0.020784,0.018238,0.019591,0.017493,0.016399,0.019348,0.02211,0.027129,0.023922,0.024851,0.020776,0.02322,0.02951,0.021975,0.030621,0.041371,0.001581,0.024294,0.018538,0.026897,0.017939,0.022802,0.02243,0.020784,0.019416,0.028356,0.020138,0.021748,0.01695,0.028612,0.022813,0.026069,0.023652,0.025905,0.025703,0.023766,0.02155,0.020591,0.027581,0.025663,0.029804,0.020054,0.027403,0.030032,0.022169,0.02031,0.026811,0.027725,0.023879,0.023304,0.021914,0.030577,0.021038,0.023405,0.022602,0.017674,0.028779,0.027938,0.026132,0.027867,0.025415,0.020175,0.018209,0.025277,0.023937,0.018457,0.002271,0.027179,0.023291,0.024021,0.020872,0.019065,0.023145,0.030255,0.018306,0.021944,0.019783,0.018922,0.031049,0.026925,0.02163,0.028989,0.016915,0.022726,0.025929,0.023513,0.027808,0.021066,0.02214,0.026283,0.028327,0.018599,0.023218,0.027786,0.023167,0.022111,0.020101,0.023908,0.025155,0.026959,0.017805,0.030663,0.026283,0.032401,0.028369,0.02295,0.018834,0.017725,0.028563,0.031135,0.027792,0.021917,0.022838,0.023567,0.019217,0.020641,0.002141,0.013946,0.021968,0.023362,0.020082,0.024425,0.030246,0.022215,0.015095,0.021207,0.025135,0.023476,0.015848,0.019171,0.023436,0.033511,0.02297,0.017231,0.026734,0.024848,0.020568,0.019373,0.022449,0.022169,0.030102,0.02446,0.026455
G025,0.016859,0.028646,0.020112,0.020051,0.018461,0.021119,0.018529,0.016984,0.015078,0.016128,0.014321,0.013626,0.015997,0.018395,0.022363,0.019753,0.020495,0.017172,0.019248,0.024236,0.018188,0.025188,0.034098,0.023747,0.000399,0.015123,0.022223,0.014868,0.019702,0.017059,0.01702,0.016002,0.023346,0.016539,0.017871,0.014279,0.023769,0.018726,0.02155,0.019519,0.022804,0.02097,0.019618,0.017899,0.01774,0.023547,0.021205,0.02458,0.016466,0.022592,0.024796,0.018508,0.016809,0.022243,0.022731,0.01959,0.019329,0.018397,0.025072,0.017229,0.019293,0.018574,0.014465,0.02388,0.023104,0.021472,0.022974,0.020919,0.016787,0.015193,0.020617,0.019692,0.015203,0.022792,0.000806,0.01916,0.019752,0.017138,0.016284,0.017712,0.024893,0.015069,0.018103,0.016329,0.015511,0.025987,0.02245,0.017984,0.023692,0.014003,0.020045,0.02108,0.019552,0.022818,0.018208,0.018854,0.021569,0.023149,0.01543,0.019169,0.022868,0.019178,0.018201,0.016602,0.019631,0.020602,0.022062,0.014781,0.025061,0.021734,0.026616,0.023472,0.018826,0.015684,0.014866,0.023351,0.025748,0.022999,0.017968,0.018839,0.019279,0.015715,0.017118,0.020257,0.00081,0.018081,0.019097,0.01668,0.021076,0.022967,0.018442,0.01259,0.017428,0.020574,0.019504,0.013237,0.015842,0.019129,0.027675,0.019053,0.015173,0.021948,0.020634,0.016851,0.016577,0.019089,0.018327,0.024751,0.020012,0.021771
G026,0.014295,0.024718,0.017222,0.017294,0.015824,0.01805,0.015905,0.014709,0.013052,0.013837,0.012329,0.011539,0.013738,0.015599,0.019276,0.017035,0.017664,0.014698,0.016432,0.020941,0.015422,0.021609,0.029198,0.020374,0.017154,0.001042,0.018866,0.012628,0.016755,0.014893,0.014608,0.01357,0.020051,0.014264,0.015253,0.012822,0.020182,0.016135,0.018474,0.016725,0.019561,0.01811,0.016881,0.015215,0.015303,0.020349,0.018225,0.020915,0.014266,0.01927,0.021316,0.015764,0.014482,0.018968,0.019622,0.016735,0.016721,0.015516,0.021617,0.014786,0.016581,0.015896,0.012489,0.020673,0.019876,0.018616,0.019774,0.018085,0.014328,0.012868,0.017707,0.016901,0.012954,0.019502,0.019044,0.001003,0.016995,0.014749,0.013964,0.015394,0.021428,0.012849,0.015465,0.014156,0.013353,0.023206,0.019145,0.015315,0.020506,0.01198,0.017189,0.018135,0.01666,0.019547,0.01553,0.016002,0.01863,0.019928,0.013197,0.016504,0.019631,0.01628,0.015642,0.01436,0.016826,0.01774,0.019016,0.01262,0.021628,0.018563,0.022723,0.019986,0.016274,0.013325,0.012682,0.020155,0.021909,0.019668,0.015538,0.016185,0.016654,0.013514,0.014682,0.017538,0.009914,5.8e-05,0.016407,0.014146,0.017988,0.020233,0.01562,0.010685,0.014951,0.017454,0.016536,0.01181,0.013571,0.016618,0.023873,0.016278,0.013069,0.018902,0.017905,0.014571,0.014048,0.016496,0.015819,0.021041,0.017148,0.018849
G027,0.013091,0.02254,0.015817,0.015739,0.014469,0.016394,0.014608,0.013424,0.011753,0.012717,0.011272,0.010755,0.012556,0.014188,0.017754,0.015483,0.016171,0.013376,0.015258,0.019012,0.014243,0.01978,0.026702,0.018675,0.015782,0.012011,0.001842,0.011495,0.015416,0.014472,0.013361,0.012737,0.018254,0.013033,0.014004,0.011737,0.018615,0.014777,0.017029,0.015171,0.017959,0.016685,0.015391,0.013934,0.013891,0.018485,0.016589,0.019218,0.013084,0.017794,0.019501,0.014417,0.013219,0.017405,0.017986,0.015538,0.01516,0.014181,0.019746,0.013844,0.015196,0.014687,0.011376,0.018739,0.018321,0.016832,0.018237,0.016416,0.013098,0.011872,0.016207,0.015656,0.011984,0.01814,0.017599,0.01529,0.001323,0.013462,0.012835,0.014918,0.019656,0.011763,0.014227,0.012883,0.012117,0.021287,0.017529,0.014023,0.018632,0.011057,0.015566,0.016578,0.01531,0.017905,0.014207,0.014908,0.016947,0.018325,0.012167,0.015178,0.01805,0.015004,0.014248,0.012975,0.015465,0.016325,0.017345,0.011515,0.019664,0.017268,0.020921,0.018296,0.014847,0.012202,0.011574,0.01848,0.020163,0.018051,0.014195,0.014763,0.015358,0.012504,0.013432,0.016235,0.008931,0.014372,0.001236,0.013162,0.01641,0.01965,0.014393,0.009763,0.013687,0.016236,0.015182,0.010854,0.012484,0.0151,0.021799,0.014886,0.011963,0.017265,0.016272,0.013343,0.013019,0.014928,0.014554,0.019403,0.015711,0.017219
